label,key,cer,wer,mean_similarity,min_similarity,std_similarity,ref_to_hyp_mean,hyp_to_ref_mean,layoutlmv3_cosine_similarity
1.original,01_2021_QH15_486447,0.13199715,0.52453372,0.839581,0.692223,0.032822,0.887191,0.891362,1
1.original,01_2026_NQ-HDND_707600,0.12949332,0.58039087,0.83807,0.705668,0.027299,0.878891,0.877045,1
1.original,01_2026_NQ-HDND_707836,0.13730298,0.55882353,0.775234,0.606884,0.098116,0.870765,0.873984,1
1.original,01_2026_QH16_704788,0.11246713,0.50585785,0.84056,0.737973,0.027839,0.890105,0.879985,1
1.original,02_2021_QH15_489113,0.12601059,0.5261194,0.662797,0.303905,0.199238,0.78476,0.800575,1
1.original,02_2026_NQ-HDND_707102,0.1234826,0.5245352,0.844377,0.673628,0.050133,0.903087,0.898547,1
1.original,02_2026_NQ-HDND_707534,0.12818822,0.57382237,0.842614,0.713354,0.027418,0.888232,0.87979,1
1.original,02_2026_NQ-HDND_707835,0.26211271,0.67008617,0.820796,0.66396,0.047323,0.878036,0.874746,1
1.original,02_2026_NQ-HDND_708053,0.12783619,0.51982379,0.834547,0.694638,0.050303,0.896671,0.889125,1
1.original,02_2026_QH16_696077,0.11958592,0.53728028,0.844939,0.719354,0.024405,0.886399,0.882455,1
1.original,02_2026_UBTVQH16_708292,0.28747433,0.67304625,0.797973,0.665786,0.076893,0.881256,0.881256,1
1.original,03_2022_QH15_m_486653,0.1247126,0.52789774,0.820185,0.522123,0.061783,0.88274,0.877342,1
1.original,03_2026_NQ-HDND_707107,0.12482909,0.51164254,0.825959,0.730209,0.03916,0.881495,0.879178,1
1.original,03_2026_NQ-HDND_707251,0.12246646,0.51773356,0.835836,0.685414,0.052572,0.89893,0.894878,1
1.original,03_2026_NQ-HDND_707834,0.1213707,0.50804598,0.824261,0.662117,0.072705,0.894529,0.89391,1
1.original,03_2026_NQ-HDND_709377,0.13231274,0.55009452,0.844756,0.749453,0.035353,0.884829,0.885097,1
1.original,03_2026_QH16_694806,0.12365779,0.53578903,0.838619,0.729113,0.026218,0.877873,0.872562,1
1.original,04_2022_QH15_477977,0.13255832,0.59197267,0.828071,0.655322,0.032482,0.860959,0.864273,1
1.original,04_2026_NQ-HDND_707101,0.09308414,0.33459357,0.812672,0.647021,0.096573,0.942016,0.94168,1
1.original,04_2026_NQ-HDND_707533,0.12564671,0.52074139,0.833384,0.750837,0.049831,0.907565,0.907565,1
1.original,04_2026_NQ-HDND_707833,0.11771029,0.52717052,0.83875,0.588794,0.067507,0.88307,0.892879,1
1.original,04_2026_NQ-HDND_707870,0.20444051,0.55966162,0.801549,0.535838,0.075093,0.889813,0.894205,1
1.original,04_2026_QH16_681012,0.12839173,0.57311734,0.821837,0.685998,0.033611,0.852601,0.862074,1
1.original,05_2022_QH15_486445,0.1208561,0.54407373,0.836842,0.732812,0.025655,0.880996,0.874368,1
1.original,05_2026_NQ-HDND_707049,0.11499664,0.47495362,0.823455,0.632579,0.059332,0.888638,0.888705,1
1.original,05_2026_NQ-HDND_707532,0.13122275,0.56917724,0.843732,0.718271,0.02894,0.885661,0.88429,1
1.original,05_2026_NQ-HDND_707602,0.11853278,0.50961145,0.849959,0.747074,0.032957,0.894851,0.894491,1
1.original,05_2026_NQ-HDND_707832,0.12637882,0.55355404,0.811284,0.622015,0.058492,0.874467,0.872465,1
1.original,05_2026_QH16_704792,0.12135993,0.53144723,0.832093,0.65704,0.03782,0.86785,0.869709,1
1.original,06_2022_QH15_418232,0.11891484,0.53538622,0.821346,0.599001,0.036067,0.87748,0.881312,1
1.original,06_2026_NQ-HDND_707048,0.13176471,0.49839228,0.848304,0.779249,0.044579,0.907282,0.907282,1
1.original,06_2026_NQ-HDND_707604,0.13951816,0.49411765,0.852489,0.74783,0.064307,0.917585,0.917585,1
1.original,06_2026_QH16_704653,0.12439238,0.54886489,0.822862,0.626447,0.048077,0.872362,0.879698,1
1.original,07_2022_QH15_458435,0.13157436,0.58497881,0.828967,0.610279,0.029107,0.870883,0.869407,1
1.original,07_2026_NQ-HDND_707047,0.1223769,0.52173913,0.836939,0.652186,0.067751,0.906233,0.905546,1
1.original,07_2026_NQ-HDND_707601,0.20578567,0.5247012,0.758955,0.360219,0.139827,0.815319,0.86899,1
1.original,07_2026_QH16_704791,0.12509866,0.55366091,0.839036,0.617715,0.031534,0.880476,0.872419,1
