category,file,status,error,mean_similarity,min_similarity,max_similarity,std_similarity,ref_to_hyp_mean,hyp_to_ref_mean,num_chunks_ref,num_chunks_hyp
1.original,01_2021_QH15_486447.txt,ok,,0.839581,0.692223,0.912533,0.032822,0.887191,0.891362,18,18
1.original,01_2026_NQ-HDND_707600.txt,ok,,0.838070,0.705668,0.903420,0.027299,0.878891,0.877045,61,61
1.original,01_2026_NQ-HDND_707836.txt,ok,,0.775234,0.606884,0.900587,0.098116,0.870765,0.873984,4,4
1.original,01_2026_QH16_704788.txt,ok,,0.840560,0.737973,0.926796,0.027839,0.890105,0.879985,39,39
1.original,02_2021_QH15_489113.txt,ok,,0.662797,0.303905,0.864159,0.199238,0.784760,0.800575,5,5
1.original,02_2026_NQ-HDND_707102.txt,ok,,0.844377,0.673628,0.940722,0.050133,0.903087,0.898547,17,17
1.original,02_2026_NQ-HDND_707534.txt,ok,,0.842614,0.713354,0.923190,0.027418,0.888232,0.879790,70,70
1.original,02_2026_NQ-HDND_707835.txt,ok,,0.820796,0.663960,0.901155,0.047323,0.878036,0.874746,13,13
1.original,02_2026_NQ-HDND_708053.txt,ok,,0.834547,0.694638,0.911662,0.050303,0.896671,0.889125,8,8
1.original,02_2026_QH16_696077.txt,ok,,0.844939,0.719354,0.912632,0.024405,0.886399,0.882455,104,104
1.original,02_2026_UBTVQH16_708292.txt,ok,,0.797973,0.665786,0.911273,0.076893,0.881256,0.881256,4,4
1.original,03_2022_QH15_m_486653.txt,ok,,0.820185,0.522123,0.919217,0.061783,0.882740,0.877342,29,29
1.original,03_2026_NQ-HDND_707107.txt,ok,,0.825959,0.730209,0.916284,0.039160,0.881495,0.879178,8,8
1.original,03_2026_NQ-HDND_707251.txt,ok,,0.835836,0.685414,0.947330,0.052572,0.898930,0.894878,12,12
1.original,03_2026_NQ-HDND_707834.txt,ok,,0.824261,0.662117,0.914252,0.072705,0.894529,0.893910,7,7
1.original,03_2026_NQ-HDND_709377.txt,ok,,0.844756,0.749453,0.894307,0.035353,0.884829,0.885097,8,8
1.original,03_2026_QH16_694806.txt,ok,,0.838619,0.729113,0.897686,0.026218,0.877873,0.872562,36,36
1.original,04_2022_QH15_477977.txt,ok,,0.828071,0.655322,0.891932,0.032482,0.860959,0.864273,30,30
1.original,04_2026_NQ-HDND_707101.txt,ok,,0.812672,0.647021,0.996101,0.096573,0.942016,0.941680,16,16
1.original,04_2026_NQ-HDND_707533.txt,ok,,0.833384,0.750837,0.926803,0.049831,0.907565,0.907565,6,6
1.original,04_2026_NQ-HDND_707833.txt,ok,,0.838750,0.588794,0.911006,0.067507,0.883070,0.892879,17,16
1.original,04_2026_NQ-HDND_707870.txt,ok,,0.801549,0.535838,0.936381,0.075093,0.889813,0.894205,12,12
1.original,04_2026_QH16_681012.txt,ok,,0.821837,0.685998,0.883584,0.033611,0.852601,0.862074,23,23
1.original,05_2022_QH15_486445.txt,ok,,0.836842,0.732812,0.910778,0.025655,0.880996,0.874368,59,59
1.original,05_2026_NQ-HDND_707049.txt,ok,,0.823455,0.632579,0.921979,0.059332,0.888638,0.888705,9,9
1.original,05_2026_NQ-HDND_707532.txt,ok,,0.843732,0.718271,0.912625,0.028940,0.885661,0.884290,25,25
1.original,05_2026_NQ-HDND_707602.txt,ok,,0.849959,0.747074,0.924379,0.032957,0.894851,0.894491,13,13
1.original,05_2026_NQ-HDND_707832.txt,ok,,0.811284,0.622015,0.894927,0.058492,0.874467,0.872465,11,11
1.original,05_2026_QH16_704792.txt,ok,,0.832093,0.657040,0.898091,0.037820,0.867850,0.869709,23,23
1.original,06_2022_QH15_418232.txt,ok,,0.821346,0.599001,0.909917,0.036067,0.877480,0.881312,135,135
1.original,06_2026_NQ-HDND_707048.txt,ok,,0.848304,0.779249,0.928258,0.044579,0.907282,0.907282,5,5
1.original,06_2026_NQ-HDND_707604.txt,ok,,0.852489,0.747830,0.924305,0.064307,0.917585,0.917585,3,3
1.original,06_2026_QH16_704653.txt,ok,,0.822862,0.626447,0.911545,0.048077,0.872362,0.879698,37,36
1.original,07_2022_QH15_458435.txt,ok,,0.828967,0.610279,0.904626,0.029107,0.870883,0.869407,167,167
1.original,07_2026_NQ-HDND_707047.txt,ok,,0.836939,0.652186,0.926435,0.067751,0.906233,0.905546,11,11
1.original,07_2026_NQ-HDND_707601.txt,ok,,0.758955,0.360219,0.913650,0.139827,0.815319,0.868990,13,13
1.original,07_2026_QH16_704791.txt,ok,,0.839036,0.617715,0.907159,0.031534,0.880476,0.872419,72,72
1.original,08_2022_QH15_m_465916.txt,ok,,0.833898,0.636350,0.907189,0.027754,0.882001,0.871695,212,211
1.original,08_2026_NQ-HDND_707605.txt,ok,,0.823475,0.729031,0.895692,0.056680,0.889057,0.889057,4,4
1.original,08_2026_NQ-HDND_710089.txt,ok,,0.815049,0.698563,0.913184,0.051199,0.876095,0.879860,5,5
1.original,09_2022_QH15_m_513345.txt,ok,,0.821446,0.594694,0.883413,0.049162,0.861701,0.864821,33,33
1.original,09_2026_NQ-HDND_707045.txt,ok,,0.823274,0.723290,0.915355,0.048345,0.880400,0.874107,4,4
1.original,09_2026_NQ-HDND_707103.txt,ok,,0.822849,0.696537,0.945483,0.062960,0.900015,0.898292,5,5
1.original,09_2026_QH16_703956.txt,ok,,0.753244,0.508462,0.880363,0.114366,0.828764,0.872655,5,4
1.original,100_2025_QH15_688908.txt,ok,,0.839225,0.737455,0.900095,0.022983,0.870297,0.875324,53,53
1.original,101_2025_QH15_686537.txt,ok,,0.842111,0.695914,0.906228,0.025330,0.875489,0.880044,64,64
1.original,102_2025_QH15_624015.txt,ok,,0.845662,0.741578,0.906371,0.025853,0.879247,0.881329,33,33
1.original,103_2025_QH15_686538.txt,ok,,0.832035,0.649112,0.902647,0.033562,0.870830,0.869450,49,49
1.original,104_2025_QH15_633465.txt,ok,,0.830067,0.762724,0.899177,0.019801,0.863163,0.860248,36,36
1.original,105_2025_QH15_667661.txt,ok,,0.848084,0.410185,0.916165,0.050866,0.889196,0.882472,76,76
1.original,106_2025_QH15_628717.txt,ok,,0.849020,0.629217,0.928749,0.029261,0.894120,0.891983,246,246
1.original,107_2025_QH15_346850.txt,ok,,0.832680,0.710232,0.917399,0.036774,0.885328,0.885001,31,31
1.original,108_2025_QH15_675268.txt,ok,,0.837523,0.657640,0.904294,0.027339,0.879041,0.876290,165,165
1.original,109_2025_QH15_665870.txt,ok,,0.836482,0.686317,0.901968,0.028279,0.873943,0.874704,33,33
1.original,10_2022_QH15_546085.txt,ok,,0.840819,0.639218,0.918036,0.029232,0.887702,0.878781,147,145
